dataset	NCBIname	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_CorrectedExpression_GC12	rho_CorrectedExpression_GC12	tau_CorrectedExpression_GC12	r_CorrectedExpression_GC3	rho_CorrectedExpression_GC3	tau_CorrectedExpression_GC3	r_CorrectedExpression_GCutr	rho_CorrectedExpression_GCutr	tau_CorrectedExpression_GCutr	r_CorrectedExpression_NcJN	rho_CorrectedExpression_NcJN	tau_CorrectedExpression_NcJN	r_CorrectedExpression_NcpJN	rho_CorrectedExpression_NcpJN	tau_CorrectedExpression_NcpJN	r_CorrectedExpression_ENccubt	rho_CorrectedExpression_ENccubt	tau_CorrectedExpression_ENccubt	r_CorrectedExpression_ENcPcubt	rho_CorrectedExpression_ENcPcubt	tau_CorrectedExpression_ENcPcubt	r_CorrectedExpression_ENcFDScubt	rho_CorrectedExpression_ENcFDScubt	tau_CorrectedExpression_ENcFDScubt	r_CorrectedExpression_ENcPFDScubt	rho_CorrectedExpression_ENcPFDScubt	tau_CorrectedExpression_ENcPFDScubt	r_CorrectedExpression_Umcubt	rho_CorrectedExpression_Umcubt	tau_CorrectedExpression_Umcubt	r_CorrectedExpression_Ltot	rho_CorrectedExpression_Ltot	tau_CorrectedExpression_Ltot	r_CorrectedExpression_nReads	rho_CorrectedExpression_nReads	tau_CorrectedExpression_nReads	r_nCountedReads_GC12	rho_nCountedReads_GC12	tau_nCountedReads_GC12	r_nCountedReads_GC3	rho_nCountedReads_GC3	tau_nCountedReads_GC3	r_nCountedReads_GCutr	rho_nCountedReads_GCutr	tau_nCountedReads_GCutr	r_nCountedReads_NcJN	rho_nCountedReads_NcJN	tau_nCountedReads_NcJN	r_nCountedReads_NcpJN	rho_nCountedReads_NcpJN	tau_nCountedReads_NcpJN	r_nCountedReads_ENccubt	rho_nCountedReads_ENccubt	tau_nCountedReads_ENccubt	r_nCountedReads_ENcPcubt	rho_nCountedReads_ENcPcubt	tau_nCountedReads_ENcPcubt	r_nCountedReads_ENcFDScubt	rho_nCountedReads_ENcFDScubt	tau_nCountedReads_ENcFDScubt	r_nCountedReads_ENcPFDScubt	rho_nCountedReads_ENcPFDScubt	tau_nCountedReads_ENcPFDScubt	r_nCountedReads_Umcubt	rho_nCountedReads_Umcubt	tau_nCountedReads_Umcubt	r_nCountedReads_Ltot	rho_nCountedReads_Ltot	tau_nCountedReads_Ltot	r_GC3_GCutr	rho_GC3_GCutr	tau_GC3_GCutr
Ostrea_edulis	Ostrea__edulis	5752	822.49565	632.23946	0.43916	0.04175	0.43794	0.04514	0.4416	0.07561	0.33383	0.06302	0.00427	-0.08887	-0.06365	0.08955	0.06253	0.04172	nan	-0.09728	-0.78977	-0.06476	-0.03411	-0.02266	-0.13358	-0.07604	-0.05068	-0.11857	-0.12845	-0.08538	-0.14356	-0.14879	-0.09931	-0.11547	-0.1327	-0.0882	-0.12879	-0.15042	-0.10005	nan	0.10911	-0.45259	-0.10587	-0.12405	-0.08259	0.9991	0.98181	0.90751	0.04474	0.05219	0.03487	0.09452	0.08154	0.05493	nan	-0.10174	-0.8977	-0.06514	-0.03181	-0.02134	-0.14	-0.09874	-0.06649	-0.11392	-0.10948	-0.07351	-0.1409	-0.1404	-0.09474	-0.10749	-0.10418	-0.07008	-0.11992	-0.12203	-0.08227	nan	0.08832	-0.79012	-0.10335	-0.11028	-0.07403	nan	-0.02831	-0.78266
Ostreola_stentina	Ostrea__stentina	3733	422.16448	227.62459	0.44135	0.04304	0.43788	0.04792	0.4483	0.08276	0.34809	0.07453	-0.00262	-0.15985	-0.11466	0.11241	0.06896	0.04675	nan	-0.52085	-0.98451	-0.03423	-0.03289	-0.02241	-0.08424	-0.04752	-0.03244	nan	0.27366	0.1895	nan	0.27448	0.18902	0.15917	0.22866	0.15175	0.13233	0.22399	0.14838	nan	-0.29278	-0.96368	0.22716	0.40757	0.27665	0.99468	0.94079	0.83681	0.07883	0.09002	0.06124	0.1217	0.08977	0.06191	nan	-0.54101	-0.99389	-0.03241	-0.03441	-0.02368	-0.08842	-0.0637	-0.04398	nan	0.34333	0.16848	nan	0.32824	0.16048	0.18863	0.31909	0.21889	0.1612	0.31315	0.21423	nan	-0.34707	-0.90346	0.2367	0.46005	0.32093	nan	-0.07001	-0.99057
Pan_troglodytes	Pan__troglodytes	9738	415.90532	315.44528	0.4849	0.07062	0.46858	0.05702	0.51765	0.15053	0.44139	0.09956	-0.0044	-0.09713	-0.07023	0.18555	0.24627	0.16375	nan	-0.33115	-0.99692	-0.09665	-0.1234	-0.0821	-0.0794	-0.11372	-0.07603	0.25606	0.29399	0.19781	0.36072	0.41851	0.28372	0.27162	0.30631	0.20449	0.32424	0.36119	0.24204	nan	-0.43632	-0.96447	0.45049	0.53184	0.37022	0.98829	0.91651	0.77827	0.13422	0.23932	0.16195	0.22474	0.33727	0.22858	nan	-0.31629	-1.02923	-0.12119	-0.17584	-0.11875	-0.09887	-0.16455	-0.11113	0.25044	0.29354	0.20073	0.36057	0.41948	0.2873	0.29347	0.36615	0.25131	0.35051	0.42243	0.29079	nan	-0.44171	-0.98806	0.45037	0.53775	0.37831	nan	0.02564	-0.99984
Parus_caeruleus	Cyanistes__caeruleus	3801	689.13786	550.85855	0.49432	0.07083	0.47236	0.05734	0.53827	0.14218	0.42487	0.08951	-0.0065	-0.02823	-0.01873	0.08388	0.06121	0.04063	nan	-0.05656	-0.85006	-0.01547	0.00858	0.00574	-0.02304	0.0072	0.00485	-0.09077	-0.05038	-0.03499	nan	-0.0423	-0.02733	-0.07573	-0.0395	-0.0269	-0.05558	-0.01564	-0.01095	nan	0.01437	-0.80431	-0.13601	-0.07359	-0.05024	0.99807	0.97431	0.88876	-0.00035	0.03707	0.02517	0.08706	0.07045	0.04711	nan	-0.05483	-0.65987	-0.01824	0.00486	0.00335	-0.02445	0.00141	0.00101	-0.09913	-0.07869	-0.05366	nan	-0.07123	-0.04737	-0.0825	-0.06073	-0.04087	-0.06165	-0.03757	-0.02552	nan	0.0382	-0.52954	-0.14349	-0.10463	-0.07102	nan	0.3233	-0.77076
Pectinaria_koreni_nord	Pectinaria__koreni	4066	419.93064	251.85803	0.50935	0.0597	0.47565	0.05532	0.57692	0.12174	0.3788	0.09855	0.00541	0.02159	0.01418	0.06048	0.06499	0.04376	nan	-0.2577	-0.99523	-0.07943	-0.07013	-0.0469	-0.0741	-0.05514	-0.03699	-0.02384	0.12456	0.08625	0.01476	0.17072	0.11784	-0.00937	0.1413	0.09707	0.00286	0.16205	0.11106	nan	-0.20592	-0.92722	0.09382	0.23826	0.16689	0.99968	0.99739	0.96891	0.00252	0.01724	0.01182	0.06019	0.06381	0.0434	nan	-0.25844	-1.00526	-0.08014	-0.07133	-0.04826	-0.07565	-0.05812	-0.03942	-0.02224	0.12841	0.08984	0.01661	0.17532	0.1225	-0.00865	0.1427	0.09922	0.00401	0.16421	0.11387	nan	-0.21043	-0.85452	0.09643	0.24414	0.17325	nan	0.07727	-0.99786
Pectinaria_koreni_sud	Pectinaria__regalis	3414	349.24692	183.78901	0.49796	0.06159	0.46837	0.05796	0.55733	0.12712	0.37711	0.09765	0.0042	-0.02522	-0.01808	0.17212	0.14138	0.09522	nan	-0.21651	-0.99631	-0.11306	-0.08981	-0.06022	-0.08278	-0.07399	-0.0498	nan	0.14819	0.13758	nan	0.20537	0.16095	0.08483	0.17138	0.11592	0.07507	0.15984	0.10801	nan	-0.28411	-0.95487	0.20928	0.33761	0.23505	0.99719	0.99097	0.94915	0.06102	0.05453	0.03697	0.18011	0.15459	0.10566	nan	-0.21819	-1.04103	-0.11978	-0.10003	-0.06814	-0.08416	-0.07636	-0.05216	nan	0.15545	0.11064	nan	0.21798	0.15441	0.09898	0.19469	0.13403	0.09196	0.18728	0.12892	nan	-0.29637	-0.99876	0.21157	0.34722	0.24578	nan	0.05593	-0.99843
Pheidole_pallidula	Pheidole__pallidula	8321	1037.97452	1041.47556	0.45824	0.07567	0.44417	0.0618	0.48639	0.13199	0.39571	0.08706	-0.02166	-0.04074	-0.02043	-0.07811	-0.09656	-0.06371	nan	-0.45249	-0.83693	0.04667	0.02806	0.01928	0.02544	0.04374	0.02902	0.23137	0.26672	0.17514	0.23469	0.28049	0.18306	0.23642	0.27494	0.18144	0.2355	0.28001	0.18408	nan	-0.27449	-0.78087	0.16092	0.31123	0.20362	0.97867	0.95351	0.83361	-0.07904	-0.10083	-0.06486	-0.09243	-0.11003	-0.07377	nan	-0.50084	-0.76435	0.08761	0.07674	0.05181	0.04205	0.05647	0.03815	0.29038	0.35043	0.23218	0.27948	0.34983	0.23041	0.28652	0.34521	0.22945	0.27303	0.33799	0.22357	nan	-0.33321	-0.72026	0.19156	0.37775	0.24941	nan	0.24141	-0.93419
Physa_acuta	Physella__acuta	8000	816.09375	622.77238	0.4466	0.05886	0.44622	0.047	0.44736	0.13075	0.33058	0.07813	-0.00805	-0.20107	-0.14485	0.01942	-0.04816	-0.03266	nan	-0.21829	-0.97118	-0.10332	-0.07875	-0.05259	-0.1583	-0.06537	-0.04315	-0.07913	-0.07711	-0.05129	-0.06732	-0.0464	-0.03082	-0.09058	-0.09379	-0.06228	-0.04544	-0.0488	-0.03241	nan	0.00558	-0.4437	-0.00333	-0.00174	-0.00097	0.99521	0.92126	0.78765	0.07498	0.10448	0.06984	0.04605	0.04235	0.02861	nan	-0.21553	-0.86776	-0.09898	-0.05387	-0.03616	-0.17049	-0.10939	-0.0741	-0.06667	-0.0369	-0.02483	-0.0629	-0.03663	-0.02462	-0.0691	-0.02718	-0.01826	-0.02795	-0.00067	-0.0005	nan	-0.02243	-0.70159	0.00186	0.01736	0.01174	nan	0.11272	-0.97668
Physa_gyrina	Physella__gyrina	9867	487.69697	352.0403	0.43562	0.05557	0.44114	0.04894	0.42455	0.12324	0.32341	0.07602	-0.0076	-0.23852	-0.1739	0.12934	0.10264	0.06842	nan	-0.47306	-0.9897	-0.09384	-0.09083	-0.06062	-0.13827	-0.08704	-0.05923	0.21711	0.33639	0.2257	0.22416	0.36675	0.2468	0.20106	0.29265	0.19331	0.21281	0.3031	0.2003	nan	-0.38525	-0.93945	0.34253	0.48512	0.33232	0.9874	0.86353	0.7213	0.1308	0.17948	0.12308	0.1548	0.17393	0.11914	nan	-0.49546	-1.05332	-0.09029	-0.08738	-0.05989	-0.15368	-0.13755	-0.09532	0.23247	0.41394	0.28855	0.22734	0.40896	0.28381	0.23469	0.41603	0.28943	0.24365	0.41389	0.28736	nan	-0.44136	-0.87004	0.34595	0.53339	0.3774	nan	-0.00032	-0.99873
Porcellio_dilatatus_petiti	Porcellio__dilatatus__petiti	14029	632.67617	610.13787	0.39478	0.04424	0.43057	0.05489	0.32307	0.07515	0.29509	0.09153	-0.00338	-0.28079	-0.20999	0.11515	0.08952	0.06073	nan	-0.39623	-0.99582	-0.07376	-0.08315	-0.05542	-0.12242	0.00041	-0.00044	nan	0.23505	0.15632	nan	0.30394	0.20515	0.13201	0.21012	0.13799	0.16887	0.24286	0.1587	nan	-0.29727	-0.87504	0.24568	0.41267	0.2819	0.98908	0.86955	0.73676	0.13601	0.12384	0.08677	0.11779	0.11058	0.07756	nan	-0.41376	-1.10826	-0.07041	-0.08069	-0.05575	-0.15916	-0.09426	-0.06638	nan	0.34625	0.24713	nan	0.39234	0.28146	0.16245	0.34164	0.23881	0.21143	0.40251	0.28385	nan	-0.39868	-0.89175	0.25506	0.49909	0.36025	nan	-0.06694	-0.99965
Propithecus_coquereli	Propithecus__coquereli	10153	442.02728	338.64116	0.47541	0.06612	0.46203	0.05294	0.50226	0.1455	0.42504	0.09657	-0.00042	-0.09358	-0.06692	0.17051	0.20455	0.13641	nan	-0.33971	-0.99811	-0.07218	-0.08492	-0.05666	-0.08331	-0.09394	-0.06299	0.25179	0.29881	0.20078	0.31914	0.38007	0.25588	0.2651	0.30784	0.20548	0.29663	0.34361	0.22953	nan	-0.38219	-0.95907	0.38928	0.47801	0.32719	0.9921	0.93351	0.80918	0.09167	0.1719	0.1157	0.19421	0.26574	0.17965	nan	-0.33695	-1.0355	-0.08524	-0.11523	-0.07805	-0.09507	-0.12829	-0.08717	0.25582	0.31875	0.219	0.32522	0.39884	0.27332	0.28423	0.36345	0.25021	0.31736	0.39818	0.27371	nan	-0.40087	-0.96104	0.39401	0.49783	0.3469	nan	0.00587	-0.99938
Reticulitermes_flavipes	Reticulitermes__flavipes	18479	642.24433	610.84197	0.44378	0.04755	0.4591	0.05323	0.41309	0.08648	0.37323	0.05952	0.00466	0.00055	0.00064	0.04888	0.02606	0.01764	nan	-0.51812	-0.97798	0.02327	-0.0067	-0.00395	-0.00886	-0.01395	-0.00982	0.36409	0.47244	0.3232	0.35753	0.47851	0.32838	0.33897	0.43533	0.29558	0.33967	0.449	0.30602	nan	-0.46642	-0.88602	0.34538	0.53075	0.37026	0.99324	0.98034	0.901	7e-05	-0.01035	-0.00718	0.0523	0.03421	0.0232	nan	-0.51736	-0.96709	0.02142	-0.01178	-0.00735	-0.00409	-0.01073	-0.00779	0.38815	0.50843	0.355	0.38202	0.51441	0.36066	0.35865	0.46308	0.31964	0.35883	0.47488	0.32888	nan	-0.49793	-0.85299	0.36464	0.57017	0.40821	nan	0.04036	-0.98941
Reticulitermes_grassei	Reticulitermes__grassei	19212	790.40001	797.61953	0.44447	0.04852	0.45786	0.05325	0.41764	0.08459	0.38541	0.06396	0.0032	-0.02028	-0.01334	0.00196	-0.02565	-0.01711	nan	-0.45791	-0.98825	-0.00406	-0.03011	-0.02024	-0.04572	-0.0453	-0.03077	0.1376	0.26252	0.17254	0.12524	0.26893	0.17719	0.12366	0.22867	0.15008	0.12832	0.25019	0.16487	nan	-0.26024	-0.86431	0.11548	0.31042	0.20537	0.9955	0.97591	0.88853	0.01831	0.00652	0.00432	0.00628	-0.01548	-0.01049	nan	-0.45945	-0.98309	-0.00432	-0.03375	-0.02283	-0.04457	-0.04682	-0.03204	0.16461	0.3152	0.21058	0.15091	0.31907	0.21389	0.14824	0.274	0.18214	0.15248	0.29369	0.19603	nan	-0.30468	-0.77512	0.13472	0.3649	0.24647	nan	0.0733	-0.98436
Reticulitermes_lucifugus	Reticulitermes__lucifugus	18613	619.783	582.33229	0.44369	0.04712	0.45816	0.05288	0.4147	0.08508	0.36819	0.0577	0.00154	0.00036	0.00061	0.04097	0.019	0.01295	nan	-0.5057	-0.96955	0.01521	-0.01319	-0.00846	-0.00285	-0.01206	-0.00833	0.36546	0.47315	0.32378	0.3589	0.48233	0.33141	0.33815	0.4335	0.2951	0.34089	0.45107	0.30909	nan	-0.4726	-0.90858	0.35236	0.53769	0.37604	0.99362	0.98042	0.8997	-0.01264	-0.02714	-0.01812	0.04324	0.02552	0.0174	nan	-0.50914	-0.96574	0.0137	-0.01635	-0.01073	0.00295	-0.00506	-0.00379	0.38724	0.50666	0.35411	0.38072	0.51568	0.36222	0.35417	0.45642	0.31582	0.35598	0.47202	0.3287	nan	-0.50075	-0.91436	0.37005	0.57377	0.41179	nan	0.04887	-0.99786
Sepia_officinalis	Sepia__officinalis	12578	783.90674	683.07111	0.41658	0.04527	0.4342	0.05355	0.38128	0.07554	0.35334	0.08508	-0.0071	-0.10423	-0.07407	0.00725	-0.03321	-0.02212	nan	-0.33319	-0.99144	-0.04135	-0.05009	-0.03369	-0.09951	-0.05958	-0.04058	-0.07408	0.00114	0.00103	nan	0.02203	0.0156	-0.07505	-0.00653	-0.00449	-0.05598	0.02265	0.01535	nan	-0.04103	-0.9005	-0.03461	0.06387	0.0449	0.99341	0.97151	0.88431	0.09827	0.06911	0.04656	0.0121	-0.00996	-0.00656	nan	-0.33157	-0.9847	-0.04127	-0.03907	-0.02666	-0.12412	-0.09152	-0.06255	-0.0548	0.05889	0.03935	nan	0.07059	0.04808	-0.04835	0.06001	0.03977	-0.02355	0.09253	0.06286	nan	-0.09424	-0.82778	-0.02611	0.11059	0.07652	nan	0.01149	-0.99627
Sepiella_japonica	Sepiella__japonica	8015	477.44529	395.16793	0.41782	0.04356	0.43883	0.05536	0.37571	0.07681	0.33979	0.0795	0.00335	-0.03376	-0.02421	0.06666	0.06006	0.0404	nan	-0.4273	-0.99101	-0.04026	-0.06193	-0.04154	-0.0662	-0.07601	-0.05191	nan	0.44228	0.30253	nan	0.46693	0.32147	0.32469	0.40065	0.27053	0.34886	0.4206	0.28559	nan	-0.48238	-0.96747	0.39214	0.56439	0.40241	0.99302	0.98615	0.92535	0.10053	0.08902	0.06128	0.05701	0.05396	0.03713	nan	-0.42229	-1.04117	-0.04642	-0.06939	-0.04737	-0.0834	-0.0926	-0.06442	nan	0.4674	0.3196	nan	0.49093	0.33947	0.35027	0.43902	0.30589	0.38409	0.4653	0.32678	nan	-0.50278	-0.88919	0.40242	0.58384	0.42852	nan	-0.02745	-0.98596
Thymelicus_lineola	Thymelicus__lineola	19065	863.49121	736.44074	0.47321	0.08879	0.45264	0.06305	0.5144	0.17316	0.34491	0.0894	-0.00265	-0.07259	-0.04874	0.06136	0.01075	0.00709	nan	-0.28592	-0.96221	-0.03907	-0.05288	-0.03516	-0.12308	-0.08985	-0.06016	nan	-0.00143	-0.00053	nan	0.01819	0.01224	0.00615	0.00353	0.00232	-0.00182	0.01578	0.00983	nan	-0.03706	-0.72896	0.00257	0.07221	0.04686	0.98697	0.95086	0.83002	0.07872	0.09299	0.06248	0.12832	0.14287	0.09531	nan	-0.29176	-0.94496	-0.02358	-0.00796	-0.00538	-0.14364	-0.13148	-0.08866	nan	0.06426	0.04451	nan	0.05929	-0.25862	0.04179	0.06729	0.04441	0.03433	0.07452	0.04846	nan	-0.08549	-0.80062	0.01564	0.11037	0.07202	nan	0.11497	-0.98525
Thymelicus_sylvestris	Thymelicus__sylvestris	18911	870.25334	761.97675	0.47386	0.09007	0.45139	0.06335	0.51887	0.17644	0.34249	0.08911	0.0018	-0.03232	-0.0202	0.03163	0.00841	0.00583	nan	-0.27179	-0.98654	-0.01928	-0.04468	-0.02948	-0.09781	-0.08165	-0.0547	nan	-0.00757	-0.00446	nan	-0.01026	-0.01004	0.0022	-0.01334	-0.00838	-0.0115	-0.01775	-0.0121	nan	-0.00538	-0.72707	-0.02791	0.03658	0.02398	0.98947	0.96998	0.86649	0.0281	0.0228	0.01576	0.06169	0.06587	0.04362	nan	-0.28579	-0.89624	0.00773	0.00293	0.00203	-0.10135	-0.09412	-0.06332	nan	0.06318	0.0412	nan	0.04021	-0.02877	0.04343	0.0497	0.03298	0.02421	0.03484	0.02234	nan	-0.05488	-0.78802	-0.00763	0.08596	0.05619	nan	0.1694	-0.9801
Trachemys_scripta	Trachemys__scripta	6812	479.89049	338.09751	0.47015	0.06713	0.46352	0.05847	0.48343	0.13648	0.41834	0.09433	-0.00173	-0.21717	-0.15868	0.12984	0.11157	0.07544	nan	-0.53111	-0.97954	-0.03227	-0.03106	-0.02081	-0.05604	-0.02522	-0.01763	0.17625	0.28125	0.18794	0.20941	0.34403	0.22952	0.19002	0.26115	0.17173	0.19859	0.27952	0.18306	nan	-0.34108	-0.94917	0.23096	0.41869	0.28217	0.99219	0.90048	0.76566	0.10851	0.13949	0.09556	0.16003	0.20561	0.1406	nan	-0.54286	-1.03694	-0.0438	-0.06627	-0.04517	-0.0732	-0.08755	-0.06055	0.18164	0.31988	0.22113	0.21454	0.37864	0.26037	0.21579	0.35299	0.24408	0.22633	0.37495	0.25768	nan	-0.38643	-0.90901	0.23545	0.46283	0.32127	nan	0.02	-0.99474
Tripylus_abatoides	Schizocosmus__abatoides	7759	615.77123	528.74134	0.50572	0.05057	0.47157	0.04739	0.5741	0.11663	0.386	0.07048	-0.0004	-0.19535	-0.14672	0.13182	0.05558	0.03873	nan	-0.52167	-0.98415	-0.08834	0.00502	0.00298	-0.08093	-0.01107	-0.00751	nan	0.27257	0.18293	nan	0.31347	0.21114	0.11212	0.26824	0.17839	0.1327	0.27526	0.18328	nan	-0.30709	-0.9438	0.19881	0.38818	0.26463	0.99689	0.92189	0.8132	0.05939	0.09759	0.06766	0.13621	0.06559	0.04717	nan	-0.52833	-1.05427	-0.09256	-0.00315	-0.00249	-0.07963	0.00439	0.00279	nan	0.31577	0.22669	nan	0.36217	0.24631	0.12303	0.3436	0.2412	0.14629	0.35957	0.25344	nan	-0.3659	-0.67187	0.2032	0.4335	0.3105	nan	-0.04173	-0.99861
Tupaia_belangeri	Tupaia__belangeri	21572	594.75756	554.6805	0.51611	0.08557	0.49055	0.0693	0.56735	0.16304	0.48374	0.11014	-0.00083	0.07346	0.04609	0.07154	0.11948	0.07935	nan	-0.37919	-0.98821	-0.02691	-0.06554	-0.04382	-0.03339	-0.05564	-0.03766	0.11504	0.19401	0.12956	nan	0.33199	0.22172	0.13421	0.25324	0.17039	0.17059	0.33691	0.22755	nan	-0.3253	-0.92103	0.17279	0.38632	0.26145	0.99735	0.97692	0.8959	-0.02536	0.0375	0.02438	0.06893	0.11385	0.0764	nan	-0.38432	-1.00242	-0.02403	-0.06217	-0.0419	-0.03771	-0.06728	-0.04589	0.13021	0.23236	0.15816	nan	0.37262	0.18945	0.14192	0.27274	0.18634	0.17925	0.35968	0.24694	nan	-0.36162	-0.85932	0.18564	0.42973	0.29844	nan	0.12993	-0.99535
Varecia_variegata_variegata	Varecia__variegata__variegata	10728	435.84238	319.49123	0.49267	0.07073	0.47107	0.05593	0.53598	0.15334	0.44376	0.10208	-0.00014	-0.06266	-0.04535	0.14522	0.20815	0.1384	nan	-0.32565	-0.99428	-0.07571	-0.11763	-0.07832	-0.07405	-0.11873	-0.07912	0.20823	0.25179	0.16871	0.30825	0.38529	0.25996	0.22442	0.2721	0.18127	0.28669	0.34841	0.23319	nan	-0.3845	-0.97114	0.37762	0.48978	0.33747	0.99452	0.94828	0.83942	0.07769	0.16875	0.11369	0.16942	0.27353	0.18514	nan	-0.32385	-1.03437	-0.0902	-0.15303	-0.10366	-0.08418	-0.15013	-0.10146	0.20786	0.25655	0.17459	0.31215	0.39244	0.2685	0.23892	0.31351	0.21428	0.30354	0.38935	0.26689	nan	-0.39589	-0.98003	0.38063	0.49938	0.34942	nan	0.05982	-0.99876
