dataset	NCBI_name	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r.expression_GC12	rho.expression_GC12	tau.expression_GC12	r.expression_GC3	rho.expression_GC3	tau.expression_GC3	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENcP	rho.expression_ENcP	tau.expression_ENcP	r.expression_ENcFDS	rho.expression_ENcFDS	tau.expression_ENcFDS	r.expression_ENcPFDS	rho.expression_ENcPFDS	tau.expression_ENcPFDS	r.expression_Um	rho.expression_Um	tau.expression_Um	r.expression_Ltot	rho.expression_Ltot	tau.expression_Ltot	r.expression_nReads	rho.expression_nReads	tau.expression_nReads	r.nReads_GC12	rho.nReads_GC12	tau.nReads_GC12	r.nReads_GC3	rho.nReads_GC3	tau.nReads_GC3	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENcP	rho.nReads_ENcP	tau.nReads_ENcP	r.nReads_ENcFDS	rho.nReads_ENcFDS	tau.nReads_ENcFDS	r.nReads_ENcPFDS	rho.nReads_ENcPFDS	tau.nReads_ENcPFDS	rho.nReads_Um	tau.nReads_Um
Pheidole_pallidula	Pheidole pallidula	12890	1180.03188518	1295.69054869	0.4557500459	0.0734260442	0.4816937994	0.1299961543	0.3947378268	0.0833663896	-0.0019304647	-0.020499812	-0.0108342526	-0.062450528	-0.0835669622	-0.055123722	0.2050556171	0.2463701314	0.1621327974	0.2050556171	0.2463701314	0.1621327974	nan	0.2418242603	0.1576209346	0.2062362734	0.2491712915	0.1649789339	nan	0.2449007527	0.1612280339	nan	-0.2357356767	-0.7535703324	0.1306944796	0.278843752	0.1826156481	0.9811791493	0.970473744	0.8648320417	-0.0515653231	-0.0635354643	-0.0401842726	-0.0729009442	-0.0931766122	-0.0620275795	0.2621556902	0.3156457157	0.2092965103	0.2621556902	0.3156457157	0.2092965103	nan	0.2971805317	0.1819907175	0.2559753762	0.3095577479	0.2060902041	nan	0.292272063	0.1802447745	-0.2830184524	-0.8104963624
Physa_acuta	Physella acuta	8000	816.09375	622.772384954	0.4466016988	0.0588560712	0.447359385	0.1307468648	0.3305828128	0.0781318079	-0.0080477697	-0.2010715264	-0.1448535178	0.0194201829	-0.0481646042	-0.0326627186	-0.0791329639	-0.077108576	-0.0512879885	-0.0791329639	-0.077108576	-0.0512879885	-0.0673215696	-0.0463962726	-0.0308235694	-0.0905839655	-0.0937879318	-0.06227828	-0.0454403302	-0.0488039087	-0.032413475	nan	0.0055814955	-0.44370337	-0.0033276823	-0.0017449622	-0.0009721576	0.9952094807	0.9212553786	0.7876506928	0.0749831294	0.1044836528	0.0698448104	0.0460508412	0.0423505619	0.0286086802	-0.0666659742	-0.0369028495	-0.0248255984	-0.0666659742	-0.0369028495	-0.0248255984	-0.0629044939	-0.0366266467	-0.0246248019	-0.0691002824	-0.0271786136	-0.0182577145	-0.0279548009	-0.000666762	-0.0005029037	-0.0224330969	-0.7015903859
Physa_gyrina	Physella gyrina	9867	487.696969697	352.040300761	0.4356150606	0.0555706554	0.4245505966	0.1232369687	0.3234119905	0.0760214197	-0.0076045288	-0.2385225254	-0.1739010723	0.1293410735	0.1026425364	0.0684204692	0.2171111352	0.3363899209	0.225701607	0.2171111352	0.3363899209	0.225701607	0.2241617512	0.3667541144	0.2467981335	0.2010593919	0.2926533674	0.1933112982	0.2128057976	0.3031036345	0.2003029771	nan	-0.3852543326	-0.9394463263	0.3425307511	0.4851202705	0.3323223602	0.9873972843	0.8635283295	0.7213003143	0.1307978025	0.1794829896	0.1230763726	0.1547994563	0.1739253008	0.1191441063	0.2324669252	0.4139443535	0.2885528825	0.2324669252	0.4139443535	0.2885528825	0.2273406478	0.408959211	0.2838065474	0.2346906585	0.4160347076	0.2894302954	0.2436527371	0.4138941482	0.2873604157	-0.4413556357	-0.8700355956
Porcellio_dilatatus_petiti	Porcellio dilatatus petiti	14029	632.676170789	610.137869751	0.394782666	0.0442430549	0.3230694863	0.0751527033	0.2950873702	0.0915309013	-0.0033807506	-0.2807858148	-0.2099872238	0.1151477694	0.0895240826	0.0607344113	nan	0.2350479425	0.156317228	nan	0.2350479425	0.156317228	nan	0.3039380658	0.2051549674	0.132011	0.2101233608	0.1379888074	0.1688722717	0.2428624172	0.1587035331	nan	-0.2972729462	-0.8750387434	0.2456790956	0.4126731202	0.2818952572	0.9890765505	0.8695470821	0.7367585422	0.1360065936	0.1238399654	0.0867730709	0.1177920666	0.1105827289	0.0775553295	nan	0.3462488809	0.2471318348	nan	0.3462488809	0.2471318348	nan	0.392343334	0.281459762	0.1624501864	0.3416386557	0.2388141614	0.2114258052	0.4025069795	0.2838458754	-0.3986803236	-0.891753916
Propithecus_coquereli	Propithecus coquereli	10153	442.027282577	338.641161191	0.4754107681	0.0661220547	0.5022582287	0.1455034755	0.425044468	0.0965675233	-0.0004199727	-0.0935838727	-0.0669222153	0.1705099294	0.2045533348	0.1364109505	0.2517873342	0.2988095051	0.2007786459	0.2517873342	0.2988095051	0.2007786459	0.3191407509	0.3800713866	0.2558832868	0.2651048298	0.3078387397	0.2054763245	0.2966296664	0.3436073964	0.2295281089	nan	-0.38218531	-0.9590726348	0.3892775455	0.4780069269	0.3271935533	0.9921002677	0.9335098193	0.8091773383	0.0916716751	0.1718974603	0.1157031679	0.1942123764	0.2657370612	0.1796535776	0.2558184449	0.3187499921	0.2190013863	0.2558184449	0.3187499921	0.2190013863	0.3252191531	0.3988440603	0.2733201099	0.2842263482	0.3634525452	0.2502069677	0.3173626414	0.3981751626	0.2737071462	-0.4008671943	-0.9610406294
Reticulitermes_flavipes	Reticulitermes flavipes	18479	642.244331403	610.84196992	0.4437829501	0.047554294	0.4130930758	0.0864761602	0.3732276758	0.0595247687	0.0046640561	0.0005532357	0.0006397331	0.0488752014	0.0260593605	0.0176357587	0.3640928792	0.4724361535	0.3232036704	0.3640928792	0.4724361535	0.3232036704	0.3575346518	0.4785130004	0.3283798979	0.3389748311	0.4353310494	0.2955813697	0.3396729984	0.4489952553	0.3060166399	nan	-0.4664165123	-0.8860176983	0.3453816397	0.5307491587	0.3702570329	0.993242711	0.9803365472	0.9010018227	7.32E-005	-0.0103471806	-0.0071767479	0.0523040089	0.0342095955	0.0232033864	0.3881537105	0.5084345737	0.3549981552	0.3881537105	0.5084345737	0.3549981552	0.3820200478	0.5144091627	0.3606622457	0.358653635	0.4630809765	0.3196397733	0.3588276982	0.4748821583	0.3288847712	-0.4979334686	-0.8529943488
Reticulitermes_grassei	Reticulitermes grassei	19212	790.40001041	797.619528463	0.4444662521	0.0485157776	0.4176387652	0.0845912451	0.3854126428	0.0639566038	0.0031972466	-0.0202753844	-0.0133379872	0.0019557375	-0.0256511641	-0.0171077321	0.1376000319	0.2625157713	0.1725364917	0.1376000319	0.2625157713	0.1725364917	0.1252358571	0.268925581	0.1771928644	0.1236627298	0.2286667312	0.1500779255	0.1283205043	0.250193048	0.1648659741	nan	-0.2602417956	-0.8643115594	0.1154766571	0.310418625	0.2053722675	0.9954984183	0.9759113001	0.8885278157	0.0183060403	0.0065220093	0.0043209898	0.0062793472	-0.0154820561	-0.0104878637	0.1646115998	0.315203988	0.2105770703	0.1646115998	0.315203988	0.2105770703	0.1509117254	0.3190710891	0.2138921144	0.1482385462	0.2739952141	0.1821389846	0.1524837111	0.2936850241	0.1960259956	-0.304678272	-0.7751207738
Reticulitermes_lucifugus	Reticulitermes lucifugus	18613	619.783001128	582.332293309	0.4436866431	0.0471228945	0.4146969842	0.0850819092	0.3681897638	0.0576956042	0.0015413715	0.0003622147	0.0006069114	0.0409668379	0.0190019781	0.0129525235	0.3654611929	0.4731529934	0.3237780285	0.3654611929	0.4731529934	0.3237780285	0.358896444	0.4823326248	0.3314143584	0.3381539052	0.4334988818	0.295095902	0.3408903713	0.451067993	0.3090912225	nan	-0.4725987417	-0.908582368	0.3523622665	0.5376939821	0.3760431055	0.9936217862	0.9804203445	0.8997029931	-0.0126420221	-0.0271426452	-0.0181201471	0.0432439682	0.0255223235	0.017404053	0.3872394352	0.5066591697	0.3541109264	0.3872394352	0.5066591697	0.3541109264	0.3807171178	0.5156766948	0.3622200102	0.3541666194	0.4564244249	0.3158220332	0.355975054	0.4720203748	0.3287025787	-0.5007539587	-0.9143556352
Sepia_officinalis	Sepia officinalis	12578	783.90674193	683.071106981	0.4165761069	0.0452742445	0.3812813931	0.0755405163	0.3533445295	0.0850833854	-0.0070998944	-0.1042293747	-0.0740671297	0.0072494937	-0.0332099962	-0.0221151529	-0.0740801531	0.0011410596	0.0010293919	-0.0740801531	0.0011410596	0.0010293919	nan	0.0220317821	0.0155971033	-0.0750458516	-0.0065265936	-0.0044935909	-0.0559849754	0.022649445	0.0153510123	nan	-0.0410331831	-0.9004961649	-0.0346062464	0.06387167	0.044899949	0.9934086503	0.9715058627	0.884311593	0.098269038	0.0691090619	0.0465568737	0.0120959009	-0.0099576902	-0.0065584135	-0.0548027186	0.0588868912	0.0393456528	-0.0548027186	0.0588868912	0.0393456528	nan	0.0705934956	0.0480846078	-0.0483492178	0.0600131976	0.0397663567	-0.0235510275	0.092531653	0.0628566802	-0.094236635	-0.8277832277
Sepiella_japonica	Sepiella japonica	8015	477.445290081	395.167932078	0.4178151321	0.0435646557	0.375708204	0.0768136028	0.3397921207	0.0794998364	0.0033546196	-0.0337550858	-0.0242138936	0.0666618804	0.0600572496	0.0404010639	nan	0.4422791624	0.3025257951	nan	0.4422791624	0.3025257951	nan	0.4669283934	0.3214704324	0.3246884013	0.400654832	0.2705269776	0.3488571694	0.4206014334	0.2855924528	nan	-0.4823837833	-0.9674686998	0.3921388251	0.5643922175	0.402412992	0.9930194604	0.9861527555	0.9253489592	0.100532108	0.0890213848	0.0612755156	0.0570101698	0.0539598177	0.0371333273	nan	0.4673954268	0.3196006911	nan	0.4673954268	0.3196006911	nan	0.4909348707	0.3394670507	0.3502716177	0.4390230623	0.3058948294	0.3840860897	0.4652954403	0.3267845608	-0.5027804953	-0.8891900024
Thymelicus_lineola	Thymelicus lineola	19065	863.491214267	736.440737046	0.4732051788	0.0887933166	0.5143974654	0.1731579639	0.344908249	0.089403597	-0.002652001	-0.072589407	-0.0487395365	0.0613631665	0.010752095	0.0070912033	nan	-0.0014256049	-0.0005309381	nan	-0.0014256049	-0.0005309381	nan	0.0181877073	0.0122439697	0.0061524551	0.0035334931	0.0023179337	-0.0018223739	0.0157818281	0.0098309241	nan	-0.0370560683	-0.7289554666	0.0025714377	0.0722117383	0.0468553034	0.986969859	0.9508561592	0.830022887	0.0787225868	0.0929857208	0.0624787156	0.1283212972	0.1428713937	0.095305309	nan	0.0642610606	0.0445097456	nan	0.0642610606	0.0445097456	nan	0.0592884085	-0.2586151913	0.0417875421	0.0672884865	0.044410644	0.0343346837	0.0745153039	0.0484649945	-0.0854858523	-0.8006185174
Thymelicus_sylvestris	Thymelicus sylvestris	18911	870.253344614	761.976746338	0.4738580101	0.0900728212	0.5188689365	0.1764426643	0.3424933435	0.0891072365	0.0017994571	-0.0323218637	-0.02020335	0.0316301346	0.0084081281	0.0058250551	nan	-0.0075735726	-0.0044594992	nan	-0.0075735726	-0.0044594992	nan	-0.0102640366	-0.0100350008	0.0021975543	-0.0133371531	-0.0083834445	-0.0115048004	-0.0177457319	-0.0120967539	nan	-0.0053785172	-0.7270732186	-0.0279066293	0.0365839312	0.0239762759	0.9894651765	0.9699796796	0.8664920077	0.0280956182	0.0228013082	0.0157644338	0.0616875526	0.0658736598	0.0436243805	nan	0.063175892	0.0411999864	nan	0.063175892	0.0411999864	nan	0.0402129491	-0.0287683629	0.0434265141	0.0496954714	0.032983041	0.0242093526	0.0348418838	0.0223410878	-0.0548800748	-0.7880220505
Trachemys_scripta	Trachemys scripta	6812	479.890487375	338.097514899	0.470150858	0.0671334883	0.4834301512	0.1364832544	0.4183353129	0.0943310593	-0.001731783	-0.217172888	-0.1586750523	0.1298351393	0.1115711778	0.0754432669	0.1762534838	0.2812450549	0.1879417521	0.1762534838	0.2812450549	0.1879417521	0.2094091319	0.3440258608	0.2295168535	0.190017857	0.261149908	0.1717292625	0.1985893292	0.2795178641	0.1830601427	nan	-0.3410751419	-0.9491703726	0.2309564114	0.4186925271	0.2821654631	0.9921863429	0.9004794684	0.7656572574	0.1085133797	0.1394882085	0.0955587377	0.1600260303	0.2056107148	0.1406030524	0.1816357496	0.3198759934	0.2211264276	0.1816357496	0.3198759934	0.2211264276	0.2145357231	0.3786392013	0.2603691612	0.2157924823	0.3529917521	0.2440787469	0.2263268125	0.3749455983	0.2576774687	-0.3864331652	-0.9090081665
Tripylus_abatoides	Schizocosmus abatoides	7759	615.771233406	528.741338105	0.505718362	0.0505711913	0.5740963324	0.1166272664	0.3860003118	0.0704843474	-0.000397202	-0.1953542744	-0.1467241857	0.1318191183	0.0555830728	0.0387332816	nan	0.2725675155	0.182929561	nan	0.2725675155	0.182929561	nan	0.3134739165	0.2111416521	0.1121229154	0.2682367204	0.1783911659	0.1327011192	0.2752597798	0.1832842357	nan	-0.3070912564	-0.9438017091	0.1988127568	0.3881829032	0.264632577	0.9968929224	0.9218850908	0.8131980372	0.0593876319	0.0975919835	0.0676558405	0.1362059393	0.0655894003	0.0471689264	nan	0.3157663887	0.226685249	nan	0.3157663887	0.226685249	nan	0.3621715607	0.2463137342	0.1230323802	0.3435977856	0.241202205	0.1462943992	0.3595730046	0.2534355391	-0.3659048243	-0.6718731551
Tupaia_belangeri	Tupaia belangeri	21572	594.757556091	554.680498407	0.5161104104	0.0855672645	0.5673466688	0.163043571	0.4837413686	0.1101421372	-0.000829486	0.0734641616	0.0460901059	0.0715379638	0.1194777701	0.0793514545	0.1150363337	0.1940110291	0.1295571945	0.1150363337	0.1940110291	0.1295571945	nan	0.3319865166	0.2217204937	0.1342110251	0.253237429	0.170388017	0.1705900873	0.336906484	0.2275486495	nan	-0.3252959715	-0.9210324707	0.1727891231	0.3863205599	0.2614474097	0.9973461053	0.9769152613	0.8958961928	-0.0253577593	0.037502	0.0243773649	0.0689323694	0.1138452714	0.0763957188	0.1302074533	0.232364161	0.1581551926	0.1302074533	0.232364161	0.1581551926	nan	0.3726229498	0.1894521336	0.14191956	0.2727435181	0.1863404808	0.179253517	0.3596787497	0.2469396446	-0.3616172111	-0.8593173755
Varecia_variegata_variegata	Varecia variegata variegata	10728	435.842375093	319.491227909	0.4926650735	0.0707325933	0.5359784971	0.1533413182	0.4437641013	0.1020845055	-0.0001393333	-0.0626630661	-0.0453524831	0.1452219128	0.2081534576	0.1384014792	0.2082272678	0.2517918069	0.1687086265	0.2082272678	0.2517918069	0.1687086265	0.30825467	0.3852923656	0.2599558791	0.2244219661	0.2721043489	0.181270872	0.286688004	0.3484127493	0.2331906781	nan	-0.384503313	-0.9711444193	0.3776243686	0.4897801139	0.3374726593	0.9945199556	0.9482788604	0.8394161495	0.0776938974	0.1687496372	0.1136884746	0.169420042	0.2735266873	0.1851376418	0.207857441	0.2565549858	0.1745903824	0.207857441	0.2565549858	0.1745903824	0.3121496397	0.3924379644	0.2685030675	0.2389222036	0.3135145978	0.2142837528	0.3035396921	0.3893478565	0.2668949494	-0.3958872761	-0.9800306838

